Area,mnemonic,2016,Conf %,2017,Conf %,2018,Conf %,2019,Conf %,2020,Conf %,2021,Conf %,2022,Conf %
ladu:Southend-on-Sea,E06000033,25124,15,23855,8,25597,9.8,27022,7.1,26814,15,27557,13,28717,8.4
ladu:Thurrock,E06000034,24788,6.4,25366,8.2,24848,13,26931,11,28561,14,29390,7.7,30696,7.5
ladu:Cambridge,E07000008,27157,18,28821,7.7,29529,6.9,28525,10,31657,7.4,31154,7.9,34165,9.1
ladu:East Cambridgeshire,E07000009,24422,7.4,25211,9.3,24885,8.7,-,-,27240,8.1,27093,9.5,-,-
ladu:Fenland,E07000010,21612,9.1,22244,8.9,21914,9.2,22511,8.3,24024,11,23509,13,26537,11
ladu:Huntingdonshire,E07000011,25372,8.1,26819,5.4,27589,7.8,27771,5.5,28715,6.8,28246,6,29066,5.7
ladu:South Cambridgeshire,E07000012,29374,7.2,26584,9.9,29794,8.9,32852,7.4,31561,8.3,33715,7.5,35367,7.1
ladu:Basildon,E07000066,24047,6.9,24240,6.3,25454,9.2,27723,7.4,25457,13,27016,7.7,27926,13
ladu:Braintree,E07000067,26207,9.5,25925,7.2,27414,8.7,27106,13,25902,7.9,26586,8.5,29336,9.1
ladu:Brentwood,E07000068,31796,14,32852,20,-,-,32391,15,-,-,27310,14,34561,17
ladu:Castle Point,E07000069,21114,11,-,-,24853,13,-,-,26288,14,-,-,27865,13
ladu:Chelmsford,E07000070,24265,15,25725,6.3,25584,12,26399,7.9,28233,20,29487,8.5,30977,9.9
ladu:Colchester,E07000071,22655,8.3,23103,8.8,23659,8.2,24448,16,25119,7.2,24295,7.7,28121,8.6
ladu:Epping Forest,E07000072,26237,16,27300,9.6,27985,8.3,27296,17,28707,11,28709,11,31370,11
ladu:Harlow,E07000073,22886,9.4,24206,7.8,24229,16,23508,8.6,24012,11,24865,8.9,26893,8.3
ladu:Maldon,E07000074,29071,12,27173,9.6,25049,13,-,-,26247,16,27735,11,-,-
ladu:Rochford,E07000075,25814,14,24708,17,25850,16,24828,17,26499,-,31803,14,32685,15
ladu:Tendring,E07000076,20682,7.9,21391,11,21222,12,21626,9.3,-,-,25262,8.8,-,-
ladu:Uttlesford,E07000077,28964,12,28339,14,30819,13,-,-,28995,12,26736,12,-,-
ladu:Broxbourne,E07000095,27989,8.9,27723,9.1,28005,13,28710,14,29918,15,27194,11,32996,10
ladu:Dacorum,E07000096,26335,9.8,27322,7.4,27006,11,28176,6.4,29998,7.9,27308,10,29431,9.3
ladu:East Hertfordshire,E07000242,28874,8.4,28083,11,29992,8.8,32821,7.3,33055,10,30454,8.4,34659,12
ladu:Hertsmere,E07000098,25355,10,24287,14,29652,11,29730,7.6,31635,9.3,26391,12,27837,9.6
ladu:North Hertfordshire,E07000099,27802,9.2,30627,10,-,-,31323,8.5,33590,8.9,29444,16,35179,10
ladu:St Albans,E07000240,33456,6,32774,12,34837,9.8,34084,11,-,-,37111,12,36416,17
ladu:Stevenage,E07000243,23402,10,23490,9.8,-,-,25161,8.4,26133,12,23640,7.6,28393,9.4
ladu:Three Rivers,E07000102,26383,11,27939,10,27997,10,27844,8.6,30489,13,29266,8.9,32665,9.4
ladu:Watford,E07000103,28243,9.2,29884,9.4,27452,8,27975,8.4,29711,9.6,28835,14,29915,9
ladu:Welwyn Hatfield,E07000241,25479,13,28652,10,26610,11,27476,12,28420,12,28000,7.4,-,-
ladu:Breckland,E07000143,19128,13,19162,8.6,21787,-,22512,10,22877,12,24150,6.4,24659,8.8
ladu:Broadland,E07000144,20401,8.6,21710,16,23593,8.8,22803,9.4,-,-,24778,8.2,27028,9.2
ladu:Great Yarmouth,E07000145,18502,11,17414,10,-,-,19882,10,21414,20,22283,9.3,26164,9.3
ladu:King's Lynn and West Norfolk,E07000146,20529,8.3,19437,8.1,20545,8.9,21978,5.5,22661,8.3,22628,7.6,24778,6.6
ladu:North Norfolk,E07000147,17992,12,19434,11,19989,9.9,-,-,22017,9.5,22763,8.8,23864,12
ladu:Norwich,E07000148,20286,14,-,-,21485,9.3,23215,5.8,23418,12,25175,6.1,25802,9.1
ladu:South Norfolk,E07000149,22708,7.6,22169,8.5,24712,7.7,25178,6.3,24032,8.1,26577,7.6,26654,7.9
ladu:Babergh,E07000200,22851,20,24921,11,25130,9.4,25429,9.8,24510,12,26685,9,26911,8.9
ladu:Ipswich,E07000202,20876,12,20740,7.3,-,-,22125,6.7,22972,11,23771,8.6,24846,7.1
ladu:Mid Suffolk,E07000203,22456,13,22162,9,23208,7.5,24793,11,24254,15,25569,6.8,26183,7.5
ladu:East Suffolk,E07000244,-,-,-,-,22649,4.9,23288,11,25072,9.4,23359,5.6,24886,12
ladu:West Suffolk,E07000245,-,-,-,-,24585,5.8,24336,6.4,25440,6.8,25751,4.7,27000,12
ladu:Camden,E09000007,33082,16,32685,7.4,34492,11,35247,10,34466,14,35102,10,35575,8.1
