Area,mnemonic,2016,Conf %,2017,Conf %,2018,Conf %,2019,Conf %,2020,Conf %,2021,Conf %,2022,Conf %
ualad19:Dundee City,S12000042,21292,11,21025,7.4,22411,9.5,23231,7.9,25562,6,24808,5.4,25613,6.2
ualad19:East Ayrshire,S12000008,22067,14,22979,7.1,24030,7.9,24871,7.7,25291,9.1,25135,7.7,-,-
ualad19:East Dunbartonshire,S12000045,27206,9,27077,9.3,26513,9.9,29859,9.2,32871,7.5,30860,9.8,33395,8.8
ualad19:East Lothian,S12000010,22916,9.2,22988,12,24516,7.8,25836,18,26383,8.7,-,-,28369,11
ualad19:East Renfrewshire,S12000011,28450,10,28087,14,28584,12,31791,11,34469,12,35077,15,36851,11
ualad19:City of Edinburgh,S12000036,25618,4.4,25943,4.4,25725,3.3,26254,5.9,28832,5.6,28164,5,30172,4.5
ualad19:Na h-Eileanan Siar,S12000013,19324,12,19980,11,20740,13,23517,13,24349,11,27152,13,24666,17
ualad19:Falkirk,S12000014,23514,6.1,23579,6.6,23993,8,24451,6.3,25875,6.7,25909,5.7,28622,6.6
ualad19:Fife,S12000047,23011,6.8,22038,8.5,23475,5.5,23857,5,24827,5.7,25599,4.7,26304,4.4
ualad19:Glasgow City,S12000049,21632,4.6,22478,3.5,22349,4.8,23622,4.1,25684,4.1,25461,5.3,27000,3.5
ualad19:Highland,S12000017,22882,4.6,22793,7.1,23274,5.8,23721,8.8,25098,5.8,25377,5,26566,6
ualad19:Inverclyde,S12000018,20846,10,20521,12,20233,12,19950,11,21707,10,24796,13,27749,11
ualad19:Midlothian,S12000019,22643,8.2,23283,11,23237,7.6,24073,7.2,25623,7.5,25636,7.1,27559,7.1
ualad19:Moray,S12000020,18330,14,19175,11,20670,9.6,21630,11,22509,11,22966,7.9,24189,-
ualad19:North Ayrshire,S12000021,22412,8.3,24498,7.3,25211,7.2,25000,7.2,25908,9.9,26408,13,28267,7.9
ualad19:North Lanarkshire,S12000050,22671,4.3,23346,3.8,24557,7.1,25000,7.2,26167,4.9,25770,3.7,28467,6.3
ualad19:Orkney Islands,S12000023,-,-,-,-,-,-,-,-,-,-,21434,17,26933,19
ualad19:Perth and Kinross,S12000048,22540,6.3,22721,7.7,22673,6.6,24642,7.3,24919,10,26775,5.4,28402,8.4
ualad19:Renfrewshire,S12000038,24069,5.8,23458,6.5,25083,7.2,24970,9.5,25432,7.6,27569,7,29506,6.8
ualad19:Scottish Borders,S12000026,21258,15,22748,7.7,22458,7.3,22925,6.1,23452,12,23559,7.5,24530,18
ualad19:Shetland Islands,S12000027,26452,14,25416,16,27568,15,29147,13,26310,17,29282,17,30544,18
ualad19:South Ayrshire,S12000028,22578,7.5,24655,9,25088,14,26000,9.8,27449,11,25910,19,26763,15
ualad19:South Lanarkshire,S12000029,23253,4.6,23943,5.8,24578,5.9,25817,5.6,-,-,27200,5.1,28164,6.9
ualad19:Stirling,S12000030,25212,11,25524,11,25761,9.7,-,-,26265,13,27830,11,28494,9
ualad19:West Dunbartonshire,S12000039,21382,16,21297,7,22798,8.4,22900,13,23790,8.8,25482,7.8,27217,8.9
ualad19:West Lothian,S12000040,22371,4.8,24002,6.4,23931,9.4,25055,6.2,27147,6.3,27751,5.5,-,-
